mid,formula,nsites,pred_log_sigma
mp:16661,Li8TiS6,60,-3.654019594192505
mp:16255,Li10Si(PSe6)2,50,-3.654810905456543
mp:9971,LiZr4(NCl)4,13,-3.654825210571289
mp:1320,LiTi2Ir,4,-3.6558220386505127
mp:12023,Na2Li3Ti3Al(PO4)6,39,-3.6577701568603516
mp:5252,Sr4LiSm2Ta2O12,21,-3.6589889526367188
mp:1457,LiY2Os,4,-3.6611928939819336
mp:5621,LiFeP3H8O13,52,-3.661229133605957
mp:2413,LiY4(BiO3)4,21,-3.661628246307373
mp:10918,Li3Cu2F8,26,-3.6618032455444336
mp:4632,LiLa4NiO8,14,-3.6641430854797363
mp:2405,LiSm4Tm4O12,21,-3.664849281311035
mp:9073,LiMg30TiO32,64,-3.6654767990112305
mp:4996,LiCo(PO3)4,36,-3.6667885780334473
mp:3716,Na2LiErCl6,10,-3.669186592102051
mp:644,LiBiS2,8,-3.6700124740600586
mp:9067,LiMg30BO32,64,-3.6703219413757324
mp:5133,LiHfMg30O31,63,-3.673598289489746
mp:12259,Ba3(LiAs)4,11,-3.6748123168945312
mp:11839,Li3Ti2(PO4)3,80,-3.675034999847412
mp:831,LiSnCl3,10,-3.6780922412872314
mp:3759,Na2LiNF6,10,-3.67824125289917
mp:749,LiCu3F7,22,-3.6794323921203613
mp:376,LiMn2F6,9,-3.680929183959961
mp:2401,LiCu6OF11,19,-3.6814303398132324
mp:2435,LiHf8(N2O)4,21,-3.683250904083252
mp:3797,LiHfMg30O31,63,-3.684027671813965
mp:488,LiFe2F7,20,-3.684577703475952
mp:616,LiFe2F5,32,-3.6861696243286133
mp:16561,Li27As10,37,-3.6868896484375
mp:5170,LiTe4H4(O3F4)2,23,-3.6869630813598633
mp:11485,Li3Fe4(PO4)6,74,-3.6876258850097656
mp:3572,K2LiNdCl6,10,-3.6880173683166504
mp:4262,LiCo2(PO4)2,13,-3.688028335571289
mp:6853,Li2Cu2F7,44,-3.6936302185058594
mp:14317,Li5GeAs3,18,-3.698503017425537
mp:9070,LiCeMg30O32,64,-3.698948621749878
mp:7313,Li2Ti(PO3)5,46,-3.700617790222168
mp:4049,LiTiP2O7,22,-3.7018141746520996
mp:18071,Ba7Li3(RuO5)4,34,-3.702924966812134
mp:1157,Li(BH)6,26,-3.7041802406311035
mp:3951,LiTi2(PO4)3,72,-3.7060465812683105
mp:12256,Li4Pr3Ge4,11,-3.7083396911621094
mp:18103,Li3Ti2(PO4)3,40,-3.7092552185058594
mp:16229,Li10Sn(PSe6)2,50,-3.709768772125244
mp:11151,Li3VS4,16,-3.709825038909912
mp:6268,Li2Cu5F12,38,-3.711554527282715
mp:4327,LiSm4Tm4O12,21,-3.71197509765625
mp:3682,Cs2LiInCl6,10,-3.71224308013916
mp:15531,Li7NbS6,28,-3.7129738330841064
mp:6084,Ba6LiNb2Ir(ClO6)2,24,-3.7141237258911133
mp:6956,Li2Ce2Ge3,14,-3.714942216873169
mp:11112,Li3RhN2,48,-3.716923475265503
mp:106,LiTb3,8,-3.718294620513916
mp:876,LiYSe2,4,-3.719027519226074
mp:15493,Li7P3S11,42,-3.719857931137085
mp:17664,NaLi3MgCl6,33,-3.7200255393981934
mp:5916,LiCoH8(CO5)2,44,-3.7235097885131836
mp:11133,Li3NbS4,32,-3.7237954139709473
mp:12176,Li4Cu3F10,17,-3.7262911796569824
mp:5404,LiPr2Ta2Cl2O7,14,-3.727325916290283
mp:16311,Li11MnAs6,36,-3.7284488677978516
mp:11009,Li3GdBi2,6,-3.7290797233581543
mp:415,LiHoSe2,4,-3.731048583984375
mp:6237,Li2Ti7O15,24,-3.7320947647094727
